model,pooling,layer,standardised,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
llama,mean_pool_hs,1,True,False,0.10300448100528688,0.024459697818383575,0.1752546727657318,0.18633830893794154,0.22667705770106653,0.42048917922079576,1000
llama,mean_pool_hs,2,True,False,0.0930871082073114,0.03320330893620849,0.15865055471658707,0.1620519214828504,0.18811924596238222,0.42048917922079576,1000
llama,mean_pool_hs,3,True,False,0.11062342629677994,0.03133549285121262,0.17719149664044379,0.19263266760819087,0.22557341602372272,0.42048917922079576,1000
llama,mean_pool_hs,4,True,False,0.12844681006386557,0.03960220292210579,0.20094987265765665,0.22344527137892506,0.26408018789221327,0.42048917922079576,1000
llama,mean_pool_hs,5,True,False,0.13885021523708416,0.05151153197512031,0.2226871959865093,0.23128787726204753,0.2608144749261106,0.42048917922079576,1000
llama,mean_pool_hs,6,True,False,0.1653791014815475,0.06676636319607497,0.25169796124100685,0.25766633777959635,0.26909889551076865,0.42048917922079576,1000
llama,mean_pool_hs,7,True,False,0.1977606484132981,0.09244490507990122,0.2719957016408443,0.29425926791256,0.2916402919087929,0.42048917922079576,1000
llama,mean_pool_hs,8,True,False,0.24445797105721034,0.12980183251202107,0.3077301189303398,0.35277760428161165,0.343615374414712,0.42048917922079576,1000
llama,mean_pool_hs,9,True,False,0.26386734302292364,0.14243897870182992,0.3314613625407219,0.37375615999505346,0.35703388281709453,0.42048917922079576,1000
llama,mean_pool_hs,10,True,False,0.28189390953006804,0.15286979265511036,0.3534211285412311,0.39258149706730805,0.36808675511969774,0.42048917922079576,1000
llama,mean_pool_hs,11,True,False,0.3252281357202902,0.18505284897983074,0.39878846555948255,0.43343652589988346,0.38236538689799027,0.42048917922079576,1000
llama,mean_pool_hs,12,True,False,0.3521685791669593,0.21308236457407476,0.4184816248714924,0.4607990787584114,0.3991356902813807,0.42048917922079576,1000
llama,mean_pool_hs,13,True,False,0.32873515795538755,0.19560276418924333,0.3954672247171402,0.4405604899062555,0.39657865235623435,0.42048917922079576,1000
llama,mean_pool_hs,14,True,False,0.3194753077901225,0.18724007084965705,0.3843567721545696,0.4311761611132227,0.3909368401157496,0.42048917922079576,1000
llama,mean_pool_hs,15,True,False,0.3068299131346884,0.179552998021245,0.3699382618069648,0.41994386560406954,0.3887156804187891,0.42048917922079576,1000
llama,mean_pool_hs,16,True,False,0.2696927975038806,0.14525198563933372,0.3408496581017971,0.3790769186586273,0.3582080251818717,0.42048917922079576,1000
