model,pooling,layer,standardised,condition,mean_cos,ci_lo,ci_hi
deepseek,mean_pool_hs,7,True,II,0.015920575708150864,0.023402133956551552,0.023460494214322124
deepseek,mean_pool_hs,7,True,SI,0.016027402132749557,0.021089687943458557,0.021129059684365906
deepseek,mean_pool_hs,8,False,DI,0.9987766146659851,0.9983389330785748,0.9989862055571823
deepseek,mean_pool_hs,8,False,II,0.9982519149780273,0.9979563284948423,0.9984414845611775
deepseek,mean_pool_hs,8,False,SI,0.9978672862052917,0.9973819811959546,0.9981882618116579
deepseek,mean_pool_hs,8,True,DI,0.09651485830545425,0.09726598113775253,0.09728491097843812
deepseek,mean_pool_hs,8,True,II,0.018683364614844322,0.02558947540819645,0.025650678592853384
deepseek,mean_pool_hs,8,True,SI,0.025367584079504013,0.028871610760688782,0.028920439405831198
deepseek,mean_pool_hs,9,False,DI,0.9985494613647461,0.9981121141228065,0.9987731514199752
deepseek,mean_pool_hs,9,False,II,0.9978197813034058,0.9975122790864106,0.9980177155779841
deepseek,mean_pool_hs,9,False,SI,0.9975717663764954,0.9970862779908846,0.9978884371311568
deepseek,mean_pool_hs,9,True,DI,0.10944703221321106,0.10916866362094892,0.10917720701626218
deepseek,mean_pool_hs,9,True,II,0.02027282863855362,0.026178278028964996,0.02625171414138837
deepseek,mean_pool_hs,9,True,SI,0.03386279195547104,0.03867078945040703,0.03870664833490419
deepseek,mean_pool_hs,10,False,DI,0.9981849789619446,0.997720011428111,0.9984428706993331
deepseek,mean_pool_hs,10,False,II,0.9972317218780518,0.9968491849557972,0.9974671495788596
